form_diff,goal_diff_diff,scored_diff,conceded_diff
-0.3333333333333333,-1.6,-1.2000000000000002,0.40000000000000013
0.6000000000000001,3.0,1.1999999999999997,-1.7999999999999998
-0.7333333333333334,-6.2,-3.6,2.6
0.4,5.2,3.0,-2.2
-0.4,-2.5999999999999996,-2.5999999999999996,0.0
0.8,6.6,5.0,-1.5999999999999996
0.6,3.0,2.4000000000000004,-0.6000000000000005
-0.20000000000000007,-3.0,-2.4000000000000004,0.6000000000000001
-0.6000000000000001,-4.0,-3.5999999999999996,0.3999999999999999
0.6,2.0,0.5999999999999996,-1.4
0.0,-1.2000000000000002,-1.2000000000000002,0.0
0.4,3.4,2.2,-1.1999999999999997
-0.39999999999999997,0.2,0.8000000000000003,0.6000000000000001
-0.4,-0.6000000000000005,0.5999999999999996,1.2
-0.6,-5.0,-2.1999999999999997,2.8
0.2,4.0,0.7999999999999999,-3.1999999999999997
-0.33333333333333337,-5.8,-3.2,2.6
0.4,0.3999999999999999,-0.7999999999999998,-1.2000000000000002
-0.3333333333333333,-4.8,-3.0000000000000004,1.7999999999999998
0.7333333333333334,4.2,2.0,-2.2
0.5333333333333333,8.2,3.8000000000000003,-4.4
0.3333333333333333,3.4000000000000004,2.0,-1.4
0.9333333333333333,7.0,2.8000000000000003,-4.2
-0.33333333333333337,-0.8000000000000003,-0.8000000000000003,0.0
-0.5333333333333334,-3.2,-1.9999999999999998,1.2
-0.26666666666666666,-3.9999999999999996,-1.2000000000000002,2.8000000000000003
0.26666666666666666,4.199999999999999,1.2000000000000002,-3.0
-0.5333333333333333,-7.0,-1.0,6.0
-0.8666666666666667,-8.6,-3.4000000000000004,5.2
0.13333333333333341,1.6,2.3999999999999995,0.7999999999999999
-0.1333333333333333,-1.6,0.6000000000000001,2.2
0.2666666666666666,3.2,1.7999999999999998,-1.4
0.6,6.800000000000001,1.0,-5.8
0.7333333333333333,8.6,3.2,-5.3999999999999995
0.33333333333333326,3.0,0.3999999999999999,-2.5999999999999996
-0.4,-5.4,-2.2,3.1999999999999997
0.0,0.0,-0.5999999999999996,-0.6
-0.6666666666666667,-3.8,-2.1999999999999997,1.6
0.6666666666666666,5.199999999999999,2.8,-2.4
-0.2,0.19999999999999973,-1.0,-1.2000000000000002
0.6666666666666667,2.2,0.19999999999999973,-2.0
0.19999999999999996,-0.6000000000000001,-0.6000000000000001,0.0
-0.6000000000000001,-5.6,-1.4,4.2
-0.6000000000000001,-9.0,-3.1999999999999997,5.8
0.6000000000000001,3.6,1.4000000000000004,-2.2
0.6000000000000001,7.6,2.6,-5.0
0.6000000000000001,7.6,2.6,-5.0
0.19999999999999996,0.6000000000000001,-0.20000000000000018,-0.8
-0.6000000000000001,-3.4,-2.0,1.4000000000000001
-0.26666666666666666,-7.0,-1.9999999999999998,5.0
0.4666666666666667,6.4,2.2,-4.2
-0.8,-7.4,-3.4000000000000004,4.0
-0.33333333333333337,-3.6,-2.4000000000000004,1.2
0.4,4.0,2.8,-1.2
-0.8666666666666667,-8.4,-2.8,5.6
0.06666666666666665,-0.19999999999999973,-1.0,-0.7999999999999999
-0.4666666666666667,-4.199999999999999,-0.8,3.3999999999999995
0.2666666666666666,4.199999999999999,2.0,-2.2
0.4666666666666666,5.0,1.8000000000000003,-3.1999999999999997
-0.5333333333333332,-4.2,-0.8,3.4000000000000004
0.5333333333333332,4.6,0.3999999999999999,-4.2
0.0,1.6,1.3999999999999995,-0.19999999999999996
-0.2,-0.8000000000000003,-0.8000000000000003,0.0
-0.6000000000000001,-4.2,-2.2,2.0
-0.8,-6.199999999999999,-3.0000000000000004,3.2
-0.39999999999999997,-1.4,-0.3999999999999999,1.0
0.6,2.6,0.8000000000000003,-1.8
-0.19999999999999996,-1.2000000000000002,0.0,1.2000000000000002
0.9333333333333333,4.0,1.7999999999999998,-2.1999999999999997
0.9333333333333333,4.800000000000001,2.0,-2.8
-0.5333333333333333,-3.4,-1.6,1.7999999999999998
0.5333333333333333,3.8,2.8,-0.9999999999999998
0.19999999999999996,0.3999999999999999,-0.7999999999999998,-1.2000000000000002
0.0,-1.6,-0.6,0.9999999999999996
-1.0,-7.0,-3.5999999999999996,3.4000000000000004
-0.6666666666666667,-7.0,-3.5999999999999996,3.3999999999999995
0.39999999999999997,6.4,3.3999999999999995,-3.0
-0.5333333333333333,-4.8,-3.0000000000000004,1.8000000000000003
-0.06666666666666665,-0.8000000000000003,-0.20000000000000018,0.6000000000000001
0.6666666666666666,5.4,2.8,-2.6
-0.13333333333333336,0.0,-0.3999999999999999,-0.40000000000000036
0.4666666666666666,5.6,2.8,-2.8000000000000003
-0.3333333333333333,-2.0,-1.4,0.5999999999999996
0.4,2.8000000000000003,1.4000000000000001,-1.4
-0.1333333333333333,1.4000000000000001,1.0,-0.40000000000000013
0.06666666666666668,1.0,0.40000000000000013,-0.6000000000000001
-0.6666666666666666,-6.6,-3.0,3.6000000000000005
-0.33333333333333326,-2.4,-0.7999999999999998,1.6
0.1333333333333333,0.6,-0.5999999999999999,-1.2
-0.4666666666666667,-4.2,-1.4000000000000001,2.8000000000000003
-0.33333333333333337,-3.8000000000000003,-2.4,1.4
0.5333333333333333,4.2,1.8000000000000003,-2.4000000000000004
-0.26666666666666666,-1.6,-1.0,0.6000000000000001
-0.39999999999999997,-2.4000000000000004,0.0,2.4
0.26666666666666666,2.8,0.6000000000000001,-2.2
0.5333333333333334,5.2,1.8000000000000003,-3.4
0.06666666666666676,1.9999999999999998,1.2000000000000002,-0.7999999999999999
-0.2,-1.1999999999999997,-0.40000000000000013,0.7999999999999998
-0.1333333333333333,-4.800000000000001,-2.4000000000000004,2.4
0.6666666666666666,3.2,1.7999999999999998,-1.4
-0.4666666666666667,-3.6,-1.6,2.0
-0.5333333333333333,-3.6,-1.6,2.0
0.06666666666666665,-0.3999999999999999,0.0,0.3999999999999999
0.4,3.0,1.1999999999999997,-1.7999999999999998
0.13333333333333336,-1.4,0.3999999999999999,1.7999999999999998
-0.8,-4.2,-2.8000000000000003,1.4
0.8,6.0,4.199999999999999,-1.8000000000000003
0.4,4.800000000000001,2.2,-2.5999999999999996
0.19999999999999996,0.6000000000000001,0.40000000000000036,-0.19999999999999996
0.6,6.199999999999999,3.6,-2.5999999999999996
-0.2,1.0000000000000004,-0.7999999999999999,-1.7999999999999998
-0.39999999999999997,-7.3999999999999995,-3.6000000000000005,3.8000000000000003
-0.8,-8.8,-4.2,4.6000000000000005
-0.8,-6.4,-4.0,2.4000000000000004
-0.06666666666666665,0.19999999999999973,0.39999999999999947,0.19999999999999996
0.6000000000000001,6.0,4.0,-2.0
-0.5333333333333334,-6.0,-3.8,2.2
0.6666666666666666,6.0,1.8,-4.2
0.3333333333333333,1.6,0.6000000000000001,-1.0000000000000002
-0.3333333333333333,-2.8000000000000003,-1.2,1.6
-0.20000000000000007,-2.4,-2.1999999999999997,0.19999999999999996
0.5333333333333333,3.4,1.0,-2.4
-0.5333333333333332,-6.199999999999999,-3.6,2.5999999999999996
-0.2,-2.8,-2.0,0.8000000000000003
0.39999999999999997,5.2,4.199999999999999,-1.0
-0.3333333333333333,-4.4,-1.5999999999999999,2.8
0.0,-1.7999999999999998,-2.4,-0.6
0.39999999999999997,2.5999999999999996,1.4000000000000001,-1.2
0.3333333333333333,3.4,1.4,-1.9999999999999998
-0.3333333333333333,-3.0,-2.4,0.6000000000000001
0.5333333333333332,3.2,2.2,-1.0000000000000002
0.33333333333333337,1.0,0.7999999999999999,-0.20000000000000018
0.06666666666666665,-0.19999999999999996,-0.8,-0.6
-0.6,-2.6,-1.6,1.0
-0.1333333333333333,-1.8,-1.2000000000000002,0.6000000000000001
0.6,2.4000000000000004,1.2,-1.2
-0.2666666666666667,-0.20000000000000007,-0.19999999999999996,0.0
0.06666666666666665,-0.2,0.0,0.19999999999999996
-0.1333333333333333,-1.2,-1.4,-0.19999999999999996
0.0,0.0,0.40000000000000013,0.3999999999999999
